,char,area,perimeter,roundness,ratio
1201,E,1379.5,154.6690467596054,0.724276720310952,1.2162162162162162
1202,E,1387.5,154.32590091228485,0.7317201071781049,1.1891891891891893
1203,E,1406.0,161.39696860313416,0.6779290014634778,1.5757575757575757
1204,E,1387.0,155.7401144504547,0.7182326131142135,1.1842105263157894
1205,E,1540.5,161.49747383594513,0.7418564469617449,1.3783783783783783
1206,E,1399.5,159.9827550649643,0.6867777224870054,1.2105263157894737
1207,E,1425.5,162.32590091228485,0.6794871017992361,1.65625
1208,E,1617.5,168.81118214130402,0.7129047468691985,1.358974358974359
1209,E,1537.5,161.49747383594513,0.7404117411254026,1.3783783783783783
1210,E,1612.0,164.56854152679443,0.7475857875308866,1.394736842105263
1211,E,1396.0,160.911687374115,0.6771733834210535,1.65625
1212,E,1710.5,175.15432798862457,0.7002787887490602,1.5
1213,E,1723.5,175.29646337032318,0.7044572104256169,1.4615384615384615
1214,E,1430.0,162.56854152679443,0.6795988853052763,1.606060606060606
1215,E,1395.0,154.08326029777527,0.7379941657492368,1.1842105263157894
1216,E,1379.5,160.32590091228485,0.6740683970498296,1.5757575757575757
1217,E,1395.0,155.7401144504547,0.722375266975002,1.1842105263157894
1218,E,1433.5,160.32590091228485,0.7004545466987537,1.606060606060606
1219,E,1401.0,155.7401144504547,0.7254822573705935,1.2162162162162162
1220,E,1587.5,164.81118214130402,0.7340574056169584,1.1951219512195121
1221,E,1640.0,163.7401144504547,0.7682866878712806,1.3333333333333333
1222,E,1417.0,162.56854152679443,0.6734207136206829,1.606060606060606
1223,E,1541.0,162.08326029777527,0.7367428848016709,1.3783783783783783
1224,E,1534.5,159.8406196832657,0.754366203020471,1.3783783783783783
1225,E,1577.5,164.46803629398346,0.7324803746706559,1.1428571428571428
1226,E,1381.0,159.7401144504547,0.6797595777325264,1.5757575757575757
1227,E,1541.5,161.01219260692596,0.7468194846329453,1.4166666666666667
1228,E,1732.5,171.15432798862457,0.7428260258720423,1.5
1229,E,1646.5,171.29646337032318,0.7047816392343235,1.358974358974359
1230,E,1940.5,181.78174459934235,0.7375691650375469,1.3488372093023255
1231,E,1654.5,164.81118214130402,0.7650380961217372,1.325
1232,E,1612.0,165.7401144504547,0.7370541707344318,1.394736842105263
1233,E,1726.0,173.39696860313416,0.7210201956382882,1.5
1234,E,1400.0,154.08326029777527,0.7406393061282663,1.2162162162162162
1235,E,1428.5,161.49747383594513,0.6879207624049675,1.606060606060606
1236,E,1545.5,159.8406196832657,0.7597738460528758,1.3783783783783783
1237,E,1539.5,160.6690467596054,0.7490398071204628,1.3783783783783783
1238,E,1547.0,158.42640614509583,0.7741494545623234,1.3783783783783783
1239,E,1718.0,174.56854152679443,0.7080775611108613,1.5
1240,E,1429.0,162.56854152679443,0.6791236413295385,1.606060606060606
1241,E,1389.5,151.8406196832657,0.7569588231523533,1.2162162162162162
1242,E,1574.0,164.22539567947388,0.733016471291187,1.1428571428571428
1243,E,1852.0,172.71067690849304,0.7798161929582994,1.3095238095238095
1244,E,1587.5,165.63960921764374,0.7267331631815863,1.1666666666666667
1245,E,1388.0,162.911687374115,0.656862730999402,1.625
1246,E,1381.0,154.08326029777527,0.7305877726879542,1.2162162162162162
1247,E,1712.5,173.9827550649643,0.7105715450261166,1.5
1248,E,1543.0,160.911687374115,0.7484803227927547,1.3783783783783783
1249,E,1726.5,178.46803629398346,0.6808247447963325,1.4871794871794872
1250,F,1161.5,238.1248904466629,0.257275995368489,1.8709677419354838
1251,F,1161.5,240.46803629398346,0.2522865743652161,1.8709677419354838
1252,F,1175.5,221.9827550649643,0.299622068876679,1.8387096774193548
